iter	Passed	Remaining
398	755013	191118
399	756904	189226
400	758792	187332
401	760710	185446
402	762609	183556
403	764493	181661
404	766400	179773
405	768291	177880
406	770171	175985
407	772079	174096
408	773974	172204
409	775858	170310
410	777736	168415
411	779633	166523
412	781554	164637
413	783486	162753
414	785397	160864
415	787294	158972
416	789203	157083
417	791083	155188
418	793004	153301
419	794893	151408
420	796785	149515
421	798690	147625
422	800576	145731
423	802460	143837
424	804338	141942
425	806230	140049
426	808155	138162
427	810045	136269
428	811926	134374
429	813810	132480
430	815682	130584
431	817572	128691
432	819458	126798
433	821341	124904
434	823232	123011
435	825128	121119
436	827010	119225
437	828913	117334
438	830795	115440
439	832670	113545
440	834565	111653
441	836469	109762
442	838362	107870
443	840253	105977
444	842150	104086
445	844044	102193
446	845938	100301
447	847849	98411
448	849781	96523
449	851684	94631
450	853569	92738
451	855464	90845
452	857348	88952
453	859241	87059
454	861126	85166
455	863038	83275
456	864927	81382
457	866794	79487
458	868679	77594
459	870578	75702
460	872462	73809
461	874357	71916
462	876258	70024
463	878152	68132
464	880064	66241
465	881946	64348
466	883847	62456
467	885748	60563
468	887620	58670
469	889510	56777
470	891424	54886
471	893310	52992
472	895191	51099
473	897075	49206
474	898965	47313
475	900848	45420
476	902731	43527
477	904578	41633
478	906446	39739
479	908310	37846
480	910201	35953
481	912084	34061
482	914001	32169
483	915916	30278
484	917825	28386
485	919716	26493
486	921629	24602
487	923509	22709
488	925397	20816
489	927303	18924
490	929184	17031
491	931067	15139
492	932953	13246
493	934841	11354
494	936722	9461
495	938617	7569
496	940507	5677
497	942390	3784
498	944299	1892
499	946214	0
