iter	RMSE
377	1.373959161
378	1.373756245
379	1.373525215
380	1.373198685
381	1.373046953
382	1.37279457
383	1.372525188
384	1.372395824
385	1.372168859
386	1.371823915
387	1.371584673
388	1.371475942
389	1.371406002
390	1.371106328
391	1.370907854
392	1.370826252
393	1.370628076
394	1.370421883
395	1.370120236
396	1.369809361
397	1.369578777
398	1.369200987
399	1.369066079
400	1.368986603
401	1.368870993
402	1.368509762
403	1.368363323
404	1.368175567
405	1.367805807
406	1.367635479
407	1.367355146
408	1.36686918
409	1.366699235
410	1.366521239
411	1.366231366
412	1.366116524
413	1.365760462
414	1.365585059
415	1.365368422
416	1.365291609
417	1.365121332
418	1.365083355
419	1.364870405
420	1.364793202
421	1.364596009
422	1.364453279
423	1.364277569
424	1.364088139
425	1.363885872
426	1.36372347
427	1.363617347
428	1.363369002
429	1.363054121
430	1.362861953
431	1.362586518
432	1.362409991
433	1.362145714
434	1.361848717
435	1.361677854
436	1.361403115
437	1.361190307
438	1.361067906
439	1.360794007
440	1.36073198
441	1.360425016
442	1.360282545
443	1.360171893
444	1.360072257
445	1.359828121
446	1.359704051
447	1.359549412
448	1.359482805
449	1.359243125
450	1.358918565
451	1.358555766
452	1.358325611
453	1.358064171
454	1.357880042
455	1.357700334
456	1.357445707
457	1.357261965
458	1.357047253
459	1.356896551
460	1.356564168
461	1.356276769
462	1.355946338
463	1.355798397
464	1.355448628
465	1.35533306
466	1.354991119
467	1.354757994
468	1.354515339
469	1.354212004
470	1.354105627
471	1.353948643
472	1.353780817
473	1.353655852
474	1.353309097
475	1.353169814
476	1.353090317
477	1.353010721
478	1.352813828
479	1.352710414
480	1.352586857
481	1.352442113
482	1.352192444
483	1.352013607
484	1.351827784
485	1.351603316
486	1.351432726
487	1.351110853
488	1.350794732
489	1.350624024
490	1.350491453
491	1.3502909
492	1.35009075
493	1.349997943
494	1.349718274
495	1.349609142
496	1.349311439
497	1.349048808
498	1.348905249
499	1.348738389
